Age group,Term,More Phrase Usage,Category
55 - 65,"""extreme"" (3.11%)",-0.632980977,Product Reactions
16 - 24,"""facewash"" (3.04%)",-0.070478733,Product Description
25 - 34,"""facewash"" (3.04%)",-0.290085506,Product Description
35 - 44,"""facewash"" (3.04%)",-0.141174064,Product Description
45 - 54,"""facewash"" (3.04%)",0.934297465,Product Description
55 - 65,"""facewash"" (3.04%)",0.116036609,Product Description
16 - 24,"""facial cleanser"" (14.38%)",1.422380034,Product Description
25 - 34,"""facial cleanser"" (14.38%)",0.481899246,Product Description
35 - 44,"""facial cleanser"" (14.38%)",-0.32385702,Product Description
45 - 54,"""facial cleanser"" (14.38%)",-0.367901575,Product Description
55 - 65,"""facial cleanser"" (14.38%)",-1.023388185,Product Description
16 - 24,"""facial cream"" (1.69%)",0.971836749,Product Description
25 - 34,"""facial cream"" (1.69%)",0.681718309,Product Description
35 - 44,"""facial cream"" (1.69%)",-0.373712567,Product Description
45 - 54,"""facial cream"" (1.69%)",-0.708849385,Product Description
55 - 65,"""facial cream"" (1.69%)",-0.928939236,Product Description
16 - 24,"""facial lotion"" (2.14%)",0.789332856,Product Description
25 - 34,"""facial lotion"" (2.14%)",-0.155047525,Product Description
35 - 44,"""facial lotion"" (2.14%)",0.119809451,Product Description
45 - 54,"""facial lotion"" (2.14%)",-0.169142755,Product Description
55 - 65,"""facial lotion"" (2.14%)",-0.817523315,Product Description
16 - 24,"""facial moisturizer"" (6.39%)",1.012703403,Product Description
25 - 34,"""facial moisturizer"" (6.39%)",0.50901671,Product Description
35 - 44,"""facial moisturizer"" (6.39%)",-0.163898051,Product Description
45 - 54,"""facial moisturizer"" (6.39%)",-0.890112991,Product Description
55 - 65,"""facial moisturizer"" (6.39%)",-0.932753134,Product Description
16 - 24,"""fan"" (23.26%)",0.662665589,Product Reactions
25 - 34,"""fan"" (23.26%)",0.875088008,Product Reactions
35 - 44,"""fan"" (23.26%)",0.218194767,Product Reactions
45 - 54,"""fan"" (23.26%)",-0.745787405,Product Reactions
55 - 65,"""fan"" (23.26%)",-1.198339515,Product Reactions
16 - 24,"""fancy"" (2.53%)",1.306615102,Product Reactions
25 - 34,"""fancy"" (2.53%)",0.363687266,Product Reactions
35 - 44,"""fancy"" (2.53%)",-0.50066325,Product Reactions
45 - 54,"""fancy"" (2.53%)",-0.602813765,Product Reactions
55 - 65,"""fancy"" (2.53%)",-0.547809642,Product Reactions
16 - 24,"""fantastic"" (15.23%)",0.256241898,Product Reactions
25 - 34,"""fantastic"" (15.23%)",0.101999202,Product Reactions
35 - 44,"""fantastic"" (15.23%)",0.644336423,Product Reactions
45 - 54,"""fantastic"" (15.23%)",-0.15175491,Product Reactions
55 - 65,"""fantastic"" (15.23%)",-1.276233919,Product Reactions
16 - 24,"""favorite"" (37.92%)",0.548165577,Product Reactions
25 - 34,"""favorite"" (37.92%)",0.640503628,Product Reactions
35 - 44,"""favorite"" (37.92%)",0.255028905,Product Reactions
45 - 54,"""favorite"" (37.92%)",-0.288739622,Product Reactions
55 - 65,"""favorite"" (37.92%)",-1.468614727,Product Reactions
16 - 24,"""fine lines"" (17.22%)",1.058257013,Skin Descriptions
25 - 34,"""fine lines"" (17.22%)",0.958525985,Skin Descriptions
35 - 44,"""fine lines"" (17.22%)",0.006925766,Skin Descriptions
45 - 54,"""fine lines"" (17.22%)",-0.991769661,Skin Descriptions
55 - 65,"""fine lines"" (17.22%)",-1.030553949,Skin Descriptions
16 - 24,"""firming"" (3.31%)",0.492331634,Product Effects
25 - 34,"""firming"" (3.31%)",0.044183608,Product Effects
35 - 44,"""firming"" (3.31%)",-0.012623888,Product Effects
45 - 54,"""firming"" (3.31%)",-0.195670265,Product Effects
55 - 65,"""firming"" (3.31%)",-0.315597202,Product Effects
16 - 24,"""flawless"" (3.44%)",1.204240872,Product Traits
25 - 34,"""flawless"" (3.44%)",0.798159648,Product Traits
35 - 44,"""flawless"" (3.44%)",-0.105021006,Product Traits
45 - 54,"""flawless"" (3.44%)",-0.742148445,Product Traits
55 - 65,"""flawless"" (3.44%)",-1.120224067,Product Traits
16 - 24,"""foam"" (17.86%)",1.076233669,Product Description
25 - 34,"""foam"" (17.86%)",1.00888965,Product Description
35 - 44,"""foam"" (17.86%)",0.006353209,Product Description
45 - 54,"""foam"" (17.86%)",-0.973311677,Product Description
55 - 65,"""foam"" (17.86%)",-1.139765763,Product Description
16 - 24,"""formula"" (18.00%)",1.028408294,Product Description
25 - 34,"""formula"" (18.00%)",0.859955477,Product Description
35 - 44,"""formula"" (18.00%)",0.203835601,Product Description
45 - 54,"""formula"" (18.00%)",-0.770729327,Product Description
55 - 65,"""formula"" (18.00%)",-1.500691534,Product Description
16 - 24,"""freckles"" (2.02%)",1.140067673,Skin Descriptions
25 - 34,"""freckles"" (2.02%)",0.981449562,Skin Descriptions
35 - 44,"""freckles"" (2.02%)",-0.25775443,Skin Descriptions
45 - 54,"""freckles"" (2.02%)",-0.783176923,Skin Descriptions
55 - 65,"""freckles"" (2.02%)",-0.961622298,Skin Descriptions
16 - 24,"""fresh"" (12.16%)",-0.957157647,Product Description
25 - 34,"""fresh"" (12.16%)",-0.033981928,Product Description
35 - 44,"""fresh"" (12.16%)",0.772144927,Product Description
45 - 54,"""fresh"" (12.16%)",0.313388894,Product Description
55 - 65,"""fresh"" (12.16%)",-0.760817617,Product Description
16 - 24,"""friend recommended"" (1.72%)",-0.174565506,Product Recommendation
25 - 34,"""friend recommended"" (1.72%)",-0.248301841,Product Recommendation
35 - 44,"""friend recommended"" (1.72%)",-0.132430458,Product Recommendation
45 - 54,"""friend recommended"" (1.72%)",0.626000417,Product Recommendation
55 - 65,"""friend recommended"" (1.72%)",0.457460222,Product Recommendation
16 - 24,"""fun"" (2.66%)",0.521771861,Product Reactions
25 - 34,"""fun"" (2.66%)",0.186273966,Product Reactions
35 - 44,"""fun"" (2.66%)",-0.135388965,Product Reactions
45 - 54,"""fun"" (2.66%)",0.130934107,Product Reactions
55 - 65,"""fun"" (2.66%)",-0.58502532,Product Reactions
16 - 24,"""future"" (5.71%)",0.901196258,Product Reactions
25 - 34,"""future"" (5.71%)",0.128742323,Product Reactions
35 - 44,"""future"" (5.71%)",0.072953983,Product Reactions
45 - 54,"""future"" (5.71%)",-0.128742323,Product Reactions
55 - 65,"""future"" (5.71%)",-1.038521403,Product Reactions
16 - 24,"""game changer"" (4.61%)",0.830630791,Product Reactions
25 - 34,"""game changer"" (4.61%)",0.519142051,Product Reactions
35 - 44,"""game changer"" (4.61%)",-0.288096374,Product Reactions
45 - 54,"""game changer"" (4.61%)",-1.481405351,Product Reactions
55 - 65,"""game changer"" (4.61%)",-1.608633146,Product Reactions
16 - 24,"""gel"" (24.82%)",1.131874928,Product Description
25 - 34,"""gel"" (24.82%)",0.864135743,Product Description
35 - 44,"""gel"" (24.82%)",0.115067684,Product Description
45 - 54,"""gel"" (24.82%)",-0.873160659,Product Description
55 - 65,"""gel"" (24.82%)",-1.310869103,Product Description
16 - 24,"""gentle"" (31.76%)",0.600429241,Product Usage
25 - 34,"""gentle"" (31.76%)",0.740284037,Product Usage
35 - 44,"""gentle"" (31.76%)",0.288121912,Product Usage
45 - 54,"""gentle"" (31.76%)",-0.517357594,Product Usage
55 - 65,"""gentle"" (31.76%)",-1.38908411,Product Usage
16 - 24,"""gift"" (28.82%)",-1.090622926,Brand Loyalty
25 - 34,"""gift"" (28.82%)",-0.81242276,Brand Loyalty
35 - 44,"""gift"" (28.82%)",-0.132088004,Brand Loyalty
45 - 54,"""gift"" (28.82%)",0.700229492,Brand Loyalty
55 - 65,"""gift"" (28.82%)",1.462426196,Brand Loyalty
16 - 24,"""glitter"" (2.83%)",0.416666667,Product Reactions
25 - 34,"""glitter"" (2.83%)",-0.333333333,Product Reactions
35 - 44,"""glitter"" (2.83%)",0,Product Reactions
45 - 54,"""glitter"" (2.83%)",0,Product Reactions
55 - 65,"""glitter"" (2.83%)",0,Product Reactions
16 - 24,"""glow"" (33.27%)",1.098887181,Product Reactions
25 - 34,"""glow"" (33.27%)",0.990316817,Product Reactions
35 - 44,"""glow"" (33.27%)",-0.073672747,Product Reactions
45 - 54,"""glow"" (33.27%)",-0.751462017,Product Reactions
55 - 65,"""glow"" (33.27%)",-1.28966082,Product Reactions
16 - 24,"""glycolic acid"" (2.51%)",0.775730779,Product Ingredients
25 - 34,"""glycolic acid"" (2.51%)",-0.12579418,Product Ingredients
35 - 44,"""glycolic acid"" (2.51%)",0,Product Ingredients
45 - 54,"""glycolic acid"" (2.51%)",0,Product Ingredients
55 - 65,"""glycolic acid"" (2.51%)",0,Product Ingredients
16 - 24,"""godsend"" (1.72%)",-0.092085079,Product Reactions
25 - 34,"""godsend"" (1.72%)",0.455656819,Product Reactions
35 - 44,"""godsend"" (1.72%)",0.407326651,Product Reactions
45 - 54,"""godsend"" (1.72%)",-0.817037591,Product Reactions
55 - 65,"""godsend"" (1.72%)",-0.994248205,Product Reactions
16 - 24,"""goes on easy"" (2.57%)",0.12409123,Product Performance
25 - 34,"""goes on easy"" (2.57%)",-0.572728752,Product Performance
35 - 44,"""goes on easy"" (2.57%)",0.343637251,Product Performance
45 - 54,"""goes on easy"" (2.57%)",0.076363834,Product Performance
55 - 65,"""goes on easy"" (2.57%)",-0.066818354,Product Performance
16 - 24,"""goes on light"" (1.67%)",-0.718184846,Product Performance
25 - 34,"""goes on light"" (1.67%)",0.051298918,Product Performance
35 - 44,"""goes on light"" (1.67%)",0.410391341,Product Performance
45 - 54,"""goes on light"" (1.67%)",0.359092423,Product Performance
55 - 65,"""goes on light"" (1.67%)",-0.55402831,Product Performance
16 - 24,"""goes on smooth"" (7.90%)",0.434599131,Product Performance
25 - 34,"""goes on smooth"" (7.90%)",0.601548797,Product Performance
35 - 44,"""goes on smooth"" (7.90%)",0.243799512,Product Performance
45 - 54,"""goes on smooth"" (7.90%)",-0.21994956,Product Performance
55 - 65,"""goes on smooth"" (7.90%)",-1.388597223,Product Performance
16 - 24,"""gold"" (3.48%)",1.044156541,Product Reactions
25 - 34,"""gold"" (3.48%)",0.661515324,Product Reactions
35 - 44,"""gold"" (3.48%)",0.239961441,Product Reactions
45 - 54,"""gold"" (3.48%)",-0.946874875,Product Reactions
55 - 65,"""gold"" (3.48%)",-1.083069207,Product Reactions
16 - 24,"""good value"" (6.86%)",-0.749463553,Product Reactions
25 - 34,"""good value"" (6.86%)",-0.487625653,Product Reactions
35 - 44,"""good value"" (6.86%)",-0.440191251,Product Reactions
45 - 54,"""good value"" (6.86%)",0.540752184,Product Reactions
55 - 65,"""good value"" (6.86%)",1.459082208,Product Reactions
16 - 24,"""gorgeous"" (2.24%)",-0.512545318,Product Reactions
25 - 34,"""gorgeous"" (2.24%)",-0.189831599,Product Reactions
35 - 44,"""gorgeous"" (2.24%)",-0.189831599,Product Reactions
45 - 54,"""gorgeous"" (2.24%)",0.721360077,Product Reactions
55 - 65,"""gorgeous"" (2.24%)",0.0949158,Product Reactions
16 - 24,"""grapefruit"" (1.99%)",0.086327698,Product Ingredients
25 - 34,"""grapefruit"" (1.99%)",0.024665057,Product Ingredients
35 - 44,"""grapefruit"" (1.99%)",-0.110992755,Product Ingredients
45 - 54,"""grapefruit"" (1.99%)",0.123325283,Product Ingredients
55 - 65,"""grapefruit"" (1.99%)",-0.110992755,Product Ingredients
16 - 24,"""greasy"" (32.99%)",0.916210729,Product Description
25 - 34,"""greasy"" (32.99%)",0.80707342,Product Description
35 - 44,"""greasy"" (32.99%)",0.252945312,Product Description
45 - 54,"""greasy"" (32.99%)",-0.706980638,Product Description
55 - 65,"""greasy"" (32.99%)",-1.488427894,Product Description
16 - 24,"""happy"" (38.56%)",0.090647133,Product Reactions
25 - 34,"""happy"" (38.56%)",0.293040302,Product Reactions
35 - 44,"""happy"" (38.56%)",0.604835183,Product Reactions
45 - 54,"""happy"" (38.56%)",-0.368058619,Product Reactions
55 - 65,"""happy"" (38.56%)",-1.015873046,Product Reactions
16 - 24,"""harmful"" (2.45%)",0.892630447,Social Responsibility
25 - 34,"""harmful"" (2.45%)",0.044262667,Social Responsibility
35 - 44,"""harmful"" (2.45%)",0.118033778,Social Responsibility
45 - 54,"""harmful"" (2.45%)",-0.309838668,Social Responsibility
55 - 65,"""harmful"" (2.45%)",-0.730334002,Social Responsibility
16 - 24,"""healing"" (11.41%)",0.059211808,Product Description
25 - 34,"""healing"" (11.41%)",0.734226416,Product Description
35 - 44,"""healing"" (11.41%)",0.465799554,Product Description
45 - 54,"""healing"" (11.41%)",-0.781595862,Product Description
55 - 65,"""healing"" (11.41%)",-0.825017855,Product Description
16 - 24,"""healthy"" (17.74%)",0.960933297,Product Description
25 - 34,"""healthy"" (17.74%)",0.933842308,Product Description
35 - 44,"""healthy"" (17.74%)",0.074898615,Product Description
45 - 54,"""healthy"" (17.74%)",-0.914719257,Product Description
55 - 65,"""healthy"" (17.74%)",-1.142602278,Product Description
16 - 24,"""heavenly"" (2.08%)",-0.257550555,Product Reactions
25 - 34,"""heavenly"" (2.08%)",0.044791401,Product Reactions
35 - 44,"""heavenly"" (2.08%)",0.783849515,Product Reactions
45 - 54,"""heavenly"" (2.08%)",-0.627079612,Product Reactions
55 - 65,"""heavenly"" (2.08%)",-0.302341956,Product Reactions
16 - 24,"""herbal"" (1.43%)",0.03354438,Product Ingredients
25 - 34,"""herbal"" (1.43%)",-0.436264859,Product Ingredients
35 - 44,"""herbal"" (1.43%)",0.291939461,Product Ingredients
45 - 54,"""herbal"" (1.43%)",0.503353618,Product Ingredients
55 - 65,"""herbal"" (1.43%)",-0.436264859,Product Ingredients
16 - 24,"""holy grail"" (5.24%)",1.26394641,Product Reactions
25 - 34,"""holy grail"" (5.24%)",0.689743609,Product Reactions
35 - 44,"""holy grail"" (5.24%)",-0.171560593,Product Reactions
45 - 54,"""holy grail"" (5.24%)",-0.787778233,Product Reactions
55 - 65,"""holy grail"" (5.24%)",-0.864805438,Product Reactions
16 - 24,"""honey"" (6.04%)",-0.008459099,Product Ingredients
25 - 34,"""honey"" (6.04%)",0.307347252,Product Ingredients
35 - 44,"""honey"" (6.04%)",0.795155277,Product Ingredients
45 - 54,"""honey"" (6.04%)",-0.45397163,Product Ingredients
55 - 65,"""honey"" (6.04%)",-1.192732915,Product Ingredients
16 - 24,"""hyaluronic acid"" (11.59%)",1.404311075,Product Ingredients
25 - 34,"""hyaluronic acid"" (11.59%)",0.811604242,Product Ingredients
35 - 44,"""hyaluronic acid"" (11.59%)",-0.373809423,Product Ingredients
45 - 54,"""hyaluronic acid"" (11.59%)",-0.636486314,Product Ingredients
55 - 65,"""hyaluronic acid"" (11.59%)",-0.979986865,Product Ingredients
16 - 24,"""hydrate"" (5.29%)",1.342888105,Product Effects
25 - 34,"""hydrate"" (5.29%)",0.494039102,Product Effects
35 - 44,"""hydrate"" (5.29%)",-0.15719426,Product Effects
45 - 54,"""hydrate"" (5.29%)",-0.727584859,Product Effects
55 - 65,"""hydrate"" (5.29%)",-0.741058653,Product Effects
16 - 24,"""hype"" (4.44%)",0.868173652,Product Reactions
25 - 34,"""hype"" (4.44%)",0.900846854,Product Reactions
35 - 44,"""hype"" (4.44%)",-0.065346404,Product Reactions
45 - 54,"""hype"" (4.44%)",-0.639461238,Product Reactions
55 - 65,"""hype"" (4.44%)",-1.148229669,Product Reactions
16 - 24,"""hypoallergenic"" (2.09%)",0.594860605,Product Description
25 - 34,"""hypoallergenic"" (2.09%)",0.67786634,Product Description
35 - 44,"""hypoallergenic"" (2.09%)",-0.660601147,Product Description
45 - 54,"""hypoallergenic"" (2.09%)",-0.691728298,Product Description
55 - 65,"""hypoallergenic"" (2.09%)",-0.525716827,Product Description
16 - 24,"""immediate"" (5.59%)",-0.150965882,Product Effects
25 - 34,"""immediate"" (5.59%)",0.436722731,Product Effects
35 - 44,"""immediate"" (5.59%)",0.458289286,Product Effects
45 - 54,"""immediate"" (5.59%)",-0.048524748,Product Effects
55 - 65,"""immediate"" (5.59%)",-1.164593951,Product Effects
16 - 24,"""inexpensive"" (6.27%)",1.105221114,Product Reactions
25 - 34,"""inexpensive"" (6.27%)",0.642481478,Product Reactions
35 - 44,"""inexpensive"" (6.27%)",-0.095607363,Product Reactions
45 - 54,"""inexpensive"" (6.27%)",-0.688373012,Product Reactions
55 - 65,"""inexpensive"" (6.27%)",-0.914006389,Product Reactions
16 - 24,"""inflammation"" (2.76%)",0.348742916,Product Effects
25 - 34,"""inflammation"" (2.76%)",0.464990555,Product Effects
35 - 44,"""inflammation"" (2.76%)",0,Product Effects
45 - 54,"""inflammation"" (2.76%)",0,Product Effects
55 - 65,"""inflammation"" (2.76%)",0,Product Effects
16 - 24,"""instant"" (3.62%)",-0.557138942,Product Effects
25 - 34,"""instant"" (3.62%)",-0.86103291,Product Effects
35 - 44,"""instant"" (3.62%)",0.101297989,Product Effects
45 - 54,"""instant"" (3.62%)",0.838522246,Product Effects
55 - 65,"""instant"" (3.62%)",0.410819624,Product Effects
16 - 24,"""intense"" (4.34%)",0.625066718,Product Effects
25 - 34,"""intense"" (4.34%)",0.783362835,Product Effects
35 - 44,"""intense"" (4.34%)",0.016235499,Product Effects
45 - 54,"""intense"" (4.34%)",-0.556065847,Product Effects
55 - 65,"""intense"" (4.34%)",-0.933541202,Product Effects
16 - 24,"""itchy"" (30.00%)",0.875127008,Skin Descriptions
25 - 34,"""itchy"" (30.00%)",0.864508682,Skin Descriptions
35 - 44,"""itchy"" (30.00%)",0.15042628,Skin Descriptions
45 - 54,"""itchy"" (30.00%)",-0.726470449,Skin Descriptions
55 - 65,"""itchy"" (30.00%)",-1.344103059,Skin Descriptions
16 - 24,"""jelly"" (2.40%)",0.681740053,Product Description
25 - 34,"""jelly"" (2.40%)",0.79853922,Product Description
35 - 44,"""jelly"" (2.40%)",-0.511280012,Product Description
45 - 54,"""jelly"" (2.40%)",-0.786592334,Product Description
55 - 65,"""jelly"" (2.40%)",-0.286024475,Product Description
16 - 24,"""keratosis"" (13.05%)",0.191508593,Skin Descriptions
25 - 34,"""keratosis"" (13.05%)",0.486302719,Skin Descriptions
35 - 44,"""keratosis"" (13.05%)",-0.079615932,Skin Descriptions
45 - 54,"""keratosis"" (13.05%)",-0.030124947,Skin Descriptions
55 - 65,"""keratosis"" (13.05%)",-0.68641844,Skin Descriptions
16 - 24,"""korean"" (1.90%)",-0.338851302,Product Origin
25 - 34,"""korean"" (1.90%)",0.09492183,Product Origin
35 - 44,"""korean"" (1.90%)",0.99313892,Product Origin
45 - 54,"""korean"" (1.90%)",-0.430863785,Product Origin
55 - 65,"""korean"" (1.90%)",-0.584217922,Product Origin
16 - 24,"""large pores"" (2.28%)",0.904078808,Skin Descriptions
25 - 34,"""large pores"" (2.28%)",0.642371784,Skin Descriptions
35 - 44,"""large pores"" (2.28%)",-0.475830951,Skin Descriptions
45 - 54,"""large pores"" (2.28%)",-0.198262896,Skin Descriptions
55 - 65,"""large pores"" (2.28%)",-0.682024364,Skin Descriptions
16 - 24,"""last all day"" (2.27%)",-1.084048387,Product Performance
25 - 34,"""last all day"" (2.27%)",-0.441905075,Product Performance
35 - 44,"""last all day"" (2.27%)",0.731905281,Product Performance
45 - 54,"""last all day"" (2.27%)",0.027619067,Product Performance
55 - 65,"""last all day"" (2.27%)",0.379762174,Product Performance
16 - 24,"""last longer"" (2.71%)",0.501343649,Product Performance
25 - 34,"""last longer"" (2.71%)",0.611012572,Product Performance
35 - 44,"""last longer"" (2.71%)",-0.245449495,Product Performance
45 - 54,"""last longer"" (2.71%)",-0.558789276,Product Performance
55 - 65,"""last longer"" (2.71%)",-1.023576617,Product Performance
16 - 24,"""lathers"" (6.83%)",0.984484323,Product Usage
25 - 34,"""lathers"" (6.83%)",0.786997947,Product Usage
35 - 44,"""lathers"" (6.83%)",0.12379743,Product Usage
45 - 54,"""lathers"" (6.83%)",-0.763417484,Product Usage
55 - 65,"""lathers"" (6.83%)",-1.20849872,Product Usage
16 - 24,"""lavender"" (12.90%)",0.70771697,Product Ingredients
25 - 34,"""lavender"" (12.90%)",0.79168339,Product Ingredients
35 - 44,"""lavender"" (12.90%)",0.077968819,Product Ingredients
45 - 54,"""lavender"" (12.90%)",-0.647740955,Product Ingredients
55 - 65,"""lavender"" (12.90%)",-0.995601839,Product Ingredients
16 - 24,"""legit"" (2.14%)",0.129968167,Product Reactions
25 - 34,"""legit"" (2.14%)",0.464219776,Product Reactions
35 - 44,"""legit"" (2.14%)",-0.378372821,Product Reactions
45 - 54,"""legit"" (2.14%)",0.004623814,Product Reactions
55 - 65,"""legit"" (2.14%)",-0.51068075,Product Reactions
16 - 24,"""lemon"" (4.21%)",0.332592153,Product Ingredients
25 - 34,"""lemon"" (4.21%)",0.018224228,Product Ingredients
35 - 44,"""lemon"" (4.21%)",-0.150349877,Product Ingredients
45 - 54,"""lemon"" (4.21%)",0.437381461,Product Ingredients
55 - 65,"""lemon"" (4.21%)",-0.68796459,Product Ingredients
16 - 24,"""life saver"" (2.89%)",0.706018086,Product Reactions
25 - 34,"""life saver"" (2.89%)",-0.039223227,Product Reactions
35 - 44,"""life saver"" (2.89%)",-0.480484531,Product Reactions
45 - 54,"""life saver"" (2.89%)",0.117669681,Product Reactions
55 - 65,"""life saver"" (2.89%)",0.039223227,Product Reactions
16 - 24,"""light tint"" (1.62%)",-0.648638805,Product Description
25 - 34,"""light tint"" (1.62%)",-0.320304341,Product Description
35 - 44,"""light tint"" (1.62%)",0.599032158,Product Description
45 - 54,"""light tint"" (1.62%)",-0.207732525,Product Description
55 - 65,"""light tint"" (1.62%)",0.214411786,Product Description
16 - 24,"""lightening"" (1.54%)",-0.327326835,Product Description
25 - 34,"""lightening"" (1.54%)",-0.507356595,Product Description
35 - 44,"""lightening"" (1.54%)",-0.283683257,Product Description
45 - 54,"""lightening"" (1.54%)",0.943792375,Product Description
55 - 65,"""lightening"" (1.54%)",0.240039679,Product Description
16 - 24,"""lightweight"" (18.25%)",1.451387021,Product Description
25 - 34,"""lightweight"" (18.25%)",0.509779585,Product Description
35 - 44,"""lightweight"" (18.25%)",-0.132394213,Product Description
45 - 54,"""lightweight"" (18.25%)",-0.702802922,Product Description
55 - 65,"""lightweight"" (18.25%)",-0.96387936,Product Description
16 - 24,"""like a charm"" (2.09%)",1.645448267,Product Performance
25 - 34,"""like a charm"" (2.09%)",1.039230485,Product Performance
35 - 44,"""like a charm"" (2.09%)",-0.584567148,Product Performance
45 - 54,"""like a charm"" (2.09%)",-0.866025404,Product Performance
55 - 65,"""like a charm"" (2.09%)",-0.866025404,Product Performance
16 - 24,"""liquid"" (13.94%)",1.274367036,Product Description
25 - 34,"""liquid"" (13.94%)",0.827031925,Product Description
35 - 44,"""liquid"" (13.94%)",0.027670213,Product Description
45 - 54,"""liquid"" (13.94%)",-0.857776606,Product Description
55 - 65,"""liquid"" (13.94%)",-1.265143632,Product Description
16 - 24,"""local"" (11.01%)",-1.074786311,Product Origin
25 - 34,"""local"" (11.01%)",-0.722997324,Product Origin
35 - 44,"""local"" (11.01%)",-0.21211905,Product Origin
45 - 54,"""local"" (11.01%)",0.899265266,Product Origin
55 - 65,"""local"" (11.01%)",1.222672127,Product Origin
16 - 24,"""long lasting"" (6.53%)",0.529701748,Product Performance
25 - 34,"""long lasting"" (6.53%)",0.444265982,Product Performance
35 - 44,"""long lasting"" (6.53%)",-0.187958685,Product Performance
45 - 54,"""long lasting"" (6.53%)",-0.307568757,Product Performance
55 - 65,"""long lasting"" (6.53%)",-0.393004523,Product Performance
16 - 24,"""look younger"" (2.18%)",-0.322965249,Product Performance
25 - 34,"""look younger"" (2.18%)",-0.004398279,Product Performance
35 - 44,"""look younger"" (2.18%)",0.170299736,Product Performance
45 - 54,"""look younger"" (2.18%)",0.44776129,Product Performance
55 - 65,"""look younger"" (2.18%)",-0.322965249,Product Performance
16 - 24,"""lotion"" (29.03%)",0.298945845,Product Description
25 - 34,"""lotion"" (29.03%)",0.71350865,Product Description
35 - 44,"""lotion"" (29.03%)",0.666524865,Product Description
45 - 54,"""lotion"" (29.03%)",-0.70061114,Product Description
55 - 65,"""lotion"" (29.03%)",-1.479067963,Product Description
16 - 24,"""love"" (30.71%)",1.152667487,Product Reactions
25 - 34,"""love"" (30.71%)",0.955215515,Product Reactions
35 - 44,"""love"" (30.71%)",-0.076937381,Product Reactions
45 - 54,"""love"" (30.71%)",-0.776881787,Product Reactions
55 - 65,"""love"" (30.71%)",-1.246788066,Product Reactions
16 - 24,"""luminous"" (1.86%)",0.904053888,Product Description
25 - 34,"""luminous"" (1.86%)",0.158820278,Product Description
35 - 44,"""luminous"" (1.86%)",-0.1099525,Product Description
45 - 54,"""luminous"" (1.86%)",0.036650833,Product Description
55 - 65,"""luminous"" (1.86%)",-1.001789444,Product Description
16 - 24,"""luxurious"" (2.91%)",1.466918834,Product Reactions
25 - 34,"""luxurious"" (2.91%)",0.583848292,Product Reactions
35 - 44,"""luxurious"" (2.91%)",-0.525463463,Product Reactions
45 - 54,"""luxurious"" (2.91%)",-0.613040707,Product Reactions
55 - 65,"""luxurious"" (2.91%)",-0.488972945,Product Reactions
16 - 24,"""magic"" (7.41%)",0.776344917,Product Reactions
25 - 34,"""magic"" (7.41%)",1.026697187,Product Reactions
35 - 44,"""magic"" (7.41%)",-0.166901513,Product Reactions
45 - 54,"""magic"" (7.41%)",-0.733355134,Product Reactions
55 - 65,"""magic"" (7.41%)",-0.912900701,Product Reactions
16 - 24,"""matte"" (7.69%)",1.614479933,Product Description
25 - 34,"""matte"" (7.69%)",0.61443935,Product Description
